names,helps,attracts/hosts,avoid,repels/traps,helped by,attracts
"['medicago sativa', 'alfalfa']",['cotton'],[],"['fava beans', 'tomatoes']",['lygus bugs'],[],"['parasitic wasps', 'big-eyed bug', 'assassin bug', 'ladybug']"
"['alliums', 'allium']","['fruit trees', 'capsicum peppers', 'tomatoes', 'brassicas', 'nightshades', 'potatoes', 'carrots']",[],"['peas', 'beans']","['-cabbage maggots', 'slugs see garlic', 'carrot fly', '-rabbits', '-aphids', '-japanese beetles', '-cabbage worms', '-cabbage loopers']","['marigolds tagetes spp', 'carrots', 'mints', 'tomatoes', 'african', 'carrots']",['thrips']
"['lobularia maritima', 'alyssum']","['lettuce', 'grapes']",[],[],['aphids'],[],"['syrphidae', 'most beneficial insects']"
"['pimpinella anisum', 'anise']",[],[],[],[],['coriander'],"['butterflies', 'bees', 'hummingbirds']"
"['apple', 'malus domestica']",[],[],"['walnut', 'cedar']",[],"['daffodils', 'comfrey', 'southernwood', 'leeks', 'garlic', 'nasturtium', 'clover', 'chives']",[]
"['prunus armeniaca', 'apricot']",[],[],['peppers'],[],[],[]
"['asparagus', 'asparagus officinalis']","['parsley', 'tomatoes']",[],"['garlic', 'potatoes', 'gladiolus', 'onion']",[],"['marigolds', 'aster family flowers', 'comfrey', 'basil', 'coriander', 'nasturtiums', 'parsley', 'tomatoes', 'dill']",['coupled']
"['babys breath', 'gypsophila paniculata']",[],[],[],['aphids'],[],['syrphidae']
"['mimosa pudica', 'bashful mimosa']","['ground', 'peppers']",['predatory beetles'],[],[],[],[]
"['basil', 'ocimum basilicum']","['oregano', 'asparagus', 'peppers', 'grapes', 'petunias', 'tomato']",[],"['thyme', 'common rue']","['mosquitoes', 'asparagus beetle', 'thrips', 'flies', 'hornworms']","['anise', 'chamomile']","['snails', 'slugs', 'butterflies']"
"['bush', 'phaseolus vulgaris', 'beans']","['strawberries', 'cucumber']",[],"['soybeans', 'dry beans', 'fennel', 'alfalfa']",[],"['strawberries', 'celery', 'grains']",[]
"['fava', 'beans', 'vicia faba']",[],[],[],[],"['celery', 'strawberries']",[]
"['pole', 'phaseolus vulgaris', 'beans']",[],[],"['sunflowers', 'brassicas', 'kohlrabi', 'beets']",[],"['corn', 'radishes']",[]
"['monarda spp', 'bee balm']",['tomato'],[],[],[],[],['bees']
